Fetched_Timestamp,Forecast_Target_WIB,City,Weather_Main,Weather_Desc,Temp_C,Feels_Like_C,Humidity_Pct,Pressure_hPa,Wind_Speed_ms,Pop_Rain_Prob,Clouds_Pct,Visibility_m
2026-09-23 09:52:09,2026-09-27 01:00:00,Pekanbaru,Rain,moderate rain,23.45,24.44,99,1011,1.23,1.0,97,9961
2026-09-23 09:52:09,2026-09-27 04:00:00,Pekanbaru,Rain,moderate rain,23.18,24.11,98,1010,0.38,1.0,100,10000
2026-09-23 09:52:09,2026-09-27 07:00:00,Pekanbaru,Rain,light rain,23.74,24.68,96,1012,0.51,1.0,100,10000
2026-09-23 09:52:09,2026-09-27 10:00:00,Pekanbaru,Rain,light rain,24.77,25.78,95,1014,0.69,0.8,100,10000
2026-09-23 09:52:09,2026-09-27 13:00:00,Pekanbaru,Clouds,overcast clouds,26.41,26.41,84,1011,1.55,0.82,99,10000
2026-09-23 09:52:09,2026-09-27 16:00:00,Pekanbaru,Rain,light rain,28.96,32.64,70,1009,1.27,0.57,89,10000
2026-09-23 09:52:09,2026-09-27 19:00:00,Pekanbaru,Rain,light rain,24.09,25.04,95,1012,1.16,1.0,93,4768
2026-09-23 09:52:09,2026-09-27 22:00:00,Pekanbaru,Rain,light rain,23.28,24.25,99,1014,1.15,1.0,97,10000
2026-09-23 09:52:09,2026-09-28 01:00:00,Pekanbaru,Rain,light rain,23.3,24.27,99,1012,1.03,1.0,99,9467
2026-09-23 09:52:09,2026-09-28 04:00:00,Pekanbaru,Rain,moderate rain,23.07,24.02,99,1012,1.0,1.0,100,10000
2026-09-23 09:52:09,2026-09-28 07:00:00,Pekanbaru,Rain,light rain,23.14,24.09,99,1013,0.84,1.0,100,10000
2026-09-23 10:57:04,2026-09-23 13:00:00,Pekanbaru,Clouds,overcast clouds,31.61,38.29,67,1010,1.77,0.0,100,10000
2026-09-23 10:57:04,2026-09-23 16:00:00,Pekanbaru,Rain,light rain,31.14,36.78,66,1008,1.24,0.2,100,10000
2026-09-23 10:57:04,2026-09-23 19:00:00,Pekanbaru,Clouds,overcast clouds,28.17,31.58,74,1009,1.21,0.0,96,10000
2026-09-23 10:57:04,2026-09-23 22:00:00,Pekanbaru,Clouds,overcast clouds,26.81,29.49,82,1011,0.71,0.23,100,10000
2026-09-23 10:57:04,2026-09-24 01:00:00,Pekanbaru,Rain,moderate rain,24.49,25.5,96,1011,1.57,1.0,100,10000
2026-09-23 10:57:04,2026-09-24 04:00:00,Pekanbaru,Rain,light rain,23.65,24.66,99,1010,0.97,1.0,96,10000
2026-09-23 10:57:04,2026-09-24 07:00:00,Pekanbaru,Rain,moderate rain,23.95,24.96,98,1012,0.27,1.0,98,10000
2026-09-23 10:57:04,2026-09-24 10:00:00,Pekanbaru,Rain,moderate rain,27.26,31.13,87,1013,0.76,1.0,100,10000
2026-09-23 10:57:04,2026-09-24 13:00:00,Pekanbaru,Rain,light rain,29.65,35.36,75,1010,1.67,1.0,86,10000
2026-09-23 10:57:04,2026-09-24 16:00:00,Pekanbaru,Rain,moderate rain,27.83,33.21,90,1009,1.81,1.0,96,10000
2026-09-23 10:57:04,2026-09-24 19:00:00,Pekanbaru,Rain,moderate rain,24.76,25.82,97,1011,1.35,1.0,91,1171
2026-09-23 10:57:04,2026-09-24 22:00:00,Pekanbaru,Rain,moderate rain,24.36,25.41,98,1014,1.54,1.0,90,4278
2026-09-23 10:57:04,2026-09-25 01:00:00,Pekanbaru,Rain,heavy intensity rain,24.08,25.15,100,1013,1.38,1.0,95,10000
2026-09-23 10:57:04,2026-09-25 04:00:00,Pekanbaru,Rain,light rain,23.62,24.62,99,1012,0.67,0.83,100,10000
2026-09-23 10:57:04,2026-09-25 07:00:00,Pekanbaru,Rain,light rain,23.74,24.75,99,1013,0.67,0.94,100,10000
2026-09-23 10:57:04,2026-09-25 10:00:00,Pekanbaru,Clouds,overcast clouds,24.97,25.98,94,1014,0.42,0.0,100,10000
2026-09-23 10:57:04,2026-09-25 13:00:00,Pekanbaru,Clouds,overcast clouds,31.78,36.28,59,1011,0.76,0.0,98,10000
2026-09-23 10:57:04,2026-09-25 16:00:00,Pekanbaru,Clouds,overcast clouds,31.18,35.76,62,1009,1.33,0.13,88,10000
2026-09-23 10:57:04,2026-09-25 19:00:00,Pekanbaru,Rain,light rain,25.13,26.15,94,1011,1.13,0.69,84,10000
2026-09-23 10:57:04,2026-09-25 22:00:00,Pekanbaru,Rain,light rain,24.04,25.03,97,1013,1.03,1.0,61,10000
2026-09-23 10:57:04,2026-09-26 01:00:00,Pekanbaru,Rain,light rain,23.1,24.02,98,1012,0.91,1.0,68,10000
2026-09-23 10:57:04,2026-09-26 04:00:00,Pekanbaru,Rain,light rain,22.29,23.13,98,1011,0.46,0.98,86,10000
2026-09-23 10:57:04,2026-09-26 07:00:00,Pekanbaru,Rain,light rain,22.98,23.87,97,1013,0.31,0.97,88,10000
2026-09-23 10:57:04,2026-09-26 10:00:00,Pekanbaru,Rain,light rain,27.83,31.97,82,1014,0.91,0.95,97,7056
2026-09-23 10:57:04,2026-09-26 13:00:00,Pekanbaru,Rain,light rain,31.61,37.35,64,1010,0.83,0.94,92,10000
2026-09-23 10:57:04,2026-09-26 16:00:00,Pekanbaru,Rain,moderate rain,29.02,35.24,82,1009,0.49,1.0,86,10000
2026-09-23 10:57:04,2026-09-26 19:00:00,Pekanbaru,Rain,light rain,25.31,26.35,94,1011,0.21,1.0,93,10000
2026-09-23 10:57:04,2026-09-26 22:00:00,Pekanbaru,Rain,light rain,24.58,25.63,97,1012,0.41,0.73,100,10000
2026-09-23 10:57:04,2026-09-27 01:00:00,Pekanbaru,Rain,moderate rain,23.45,24.44,99,1011,1.23,1.0,97,9961
2026-09-23 10:57:04,2026-09-27 04:00:00,Pekanbaru,Rain,moderate rain,23.18,24.11,98,1010,0.38,1.0,100,10000
2026-09-23 10:57:04,2026-09-27 07:00:00,Pekanbaru,Rain,light rain,23.74,24.68,96,1012,0.51,1.0,100,10000
2026-09-23 10:57:04,2026-09-27 10:00:00,Pekanbaru,Rain,light rain,24.77,25.78,95,1014,0.69,0.8,100,10000
2026-09-23 10:57:04,2026-09-27 13:00:00,Pekanbaru,Clouds,overcast clouds,26.41,26.41,84,1011,1.55,0.82,99,10000
2026-09-23 10:57:04,2026-09-27 16:00:00,Pekanbaru,Rain,light rain,28.96,32.64,70,1009,1.27,0.57,89,10000
2026-09-23 10:57:04,2026-09-27 19:00:00,Pekanbaru,Rain,light rain,24.09,25.04,95,1012,1.16,1.0,93,4768
2026-09-23 10:57:04,2026-09-27 22:00:00,Pekanbaru,Rain,light rain,23.28,24.25,99,1014,1.15,1.0,97,10000
2026-09-23 10:57:04,2026-09-28 01:00:00,Pekanbaru,Rain,light rain,23.3,24.27,99,1012,1.03,1.0,99,9467
2026-09-23 10:57:04,2026-09-28 04:00:00,Pekanbaru,Rain,moderate rain,23.07,24.02,99,1012,1.0,1.0,100,10000
2026-09-23 10:57:04,2026-09-28 07:00:00,Pekanbaru,Rain,light rain,23.14,24.09,99,1013,0.84,1.0,100,10000
2026-09-23 10:57:04,2026-09-28 10:00:00,Pekanbaru,Clouds,overcast clouds,23.77,24.76,98,1015,0.76,0.0,100,10000
2026-09-23 11:45:50,2026-09-23 13:00:00,Pekanbaru,Clouds,overcast clouds,32.15,39.15,66,1009,1.77,0.0,100,10000
2026-09-23 11:45:50,2026-09-23 16:00:00,Pekanbaru,Rain,light rain,31.96,38.56,65,1008,1.24,0.2,100,10000
2026-09-23 11:45:50,2026-09-23 19:00:00,Pekanbaru,Clouds,overcast clouds,29.5,34.29,72,1009,1.21,0.0,97,10000
2026-09-23 11:45:50,2026-09-23 22:00:00,Pekanbaru,Clouds,overcast clouds,26.81,29.49,82,1011,0.71,0.23,100,10000
2026-09-23 11:45:50,2026-09-24 01:00:00,Pekanbaru,Rain,moderate rain,24.49,25.5,96,1011,1.57,1.0,100,10000
2026-09-23 11:45:50,2026-09-24 04:00:00,Pekanbaru,Rain,light rain,23.65,24.66,99,1010,0.97,1.0,96,10000
2026-09-23 11:45:50,2026-09-24 07:00:00,Pekanbaru,Rain,moderate rain,23.95,24.96,98,1012,0.27,1.0,98,10000
2026-09-23 11:45:50,2026-09-24 10:00:00,Pekanbaru,Rain,moderate rain,27.26,31.13,87,1013,0.76,1.0,100,10000
2026-09-23 11:45:50,2026-09-24 13:00:00,Pekanbaru,Rain,light rain,29.65,35.36,75,1010,1.67,1.0,86,10000
2026-09-23 11:45:50,2026-09-24 16:00:00,Pekanbaru,Rain,moderate rain,27.83,33.21,90,1009,1.81,1.0,96,10000
2026-09-23 11:45:50,2026-09-24 19:00:00,Pekanbaru,Rain,moderate rain,24.76,25.82,97,1011,1.35,1.0,91,1171
2026-09-23 11:45:50,2026-09-24 22:00:00,Pekanbaru,Rain,moderate rain,24.36,25.41,98,1014,1.54,1.0,90,4278
2026-09-23 11:45:50,2026-09-25 01:00:00,Pekanbaru,Rain,heavy intensity rain,24.08,25.15,100,1013,1.38,1.0,95,10000
2026-09-23 11:45:50,2026-09-25 04:00:00,Pekanbaru,Rain,light rain,23.62,24.62,99,1012,0.67,0.83,100,10000
2026-09-23 11:45:50,2026-09-25 07:00:00,Pekanbaru,Rain,light rain,23.74,24.75,99,1013,0.67,0.94,100,10000
2026-09-23 11:45:50,2026-09-25 10:00:00,Pekanbaru,Clouds,overcast clouds,24.97,25.98,94,1014,0.42,0.0,100,10000
2026-09-23 11:45:50,2026-09-25 13:00:00,Pekanbaru,Clouds,overcast clouds,31.78,36.28,59,1011,0.76,0.0,98,10000
2026-09-23 11:45:50,2026-09-25 16:00:00,Pekanbaru,Clouds,overcast clouds,31.18,35.76,62,1009,1.33,0.13,88,10000
2026-09-23 11:45:50,2026-09-25 19:00:00,Pekanbaru,Rain,light rain,25.13,26.15,94,1011,1.13,0.69,84,10000
2026-09-23 11:45:50,2026-09-25 22:00:00,Pekanbaru,Rain,light rain,24.04,25.03,97,1013,1.03,1.0,61,10000
2026-09-23 11:45:50,2026-09-26 01:00:00,Pekanbaru,Rain,light rain,23.1,24.02,98,1012,0.91,1.0,68,10000
2026-09-23 11:45:50,2026-09-26 04:00:00,Pekanbaru,Rain,light rain,22.29,23.13,98,1011,0.46,0.98,86,10000
2026-09-23 11:45:50,2026-09-26 07:00:00,Pekanbaru,Rain,light rain,22.98,23.87,97,1013,0.31,0.97,88,10000
2026-09-23 11:45:50,2026-09-26 10:00:00,Pekanbaru,Rain,light rain,27.83,31.97,82,1014,0.91,0.95,97,7056
2026-09-23 11:45:50,2026-09-26 13:00:00,Pekanbaru,Rain,light rain,31.61,37.35,64,1010,0.83,0.94,92,10000
2026-09-23 11:45:50,2026-09-26 16:00:00,Pekanbaru,Rain,moderate rain,29.02,35.24,82,1009,0.49,1.0,86,10000
2026-09-23 11:45:50,2026-09-26 19:00:00,Pekanbaru,Rain,light rain,25.31,26.35,94,1011,0.21,1.0,93,10000
2026-09-23 11:45:50,2026-09-26 22:00:00,Pekanbaru,Rain,light rain,24.58,25.63,97,1012,0.41,0.73,100,10000
2026-09-23 11:45:50,2026-09-27 01:00:00,Pekanbaru,Rain,moderate rain,23.45,24.44,99,1011,1.23,1.0,97,9961
2026-09-23 11:45:50,2026-09-27 04:00:00,Pekanbaru,Rain,moderate rain,23.18,24.11,98,1010,0.38,1.0,100,10000
2026-09-23 11:45:50,2026-09-27 07:00:00,Pekanbaru,Rain,light rain,23.74,24.68,96,1012,0.51,1.0,100,10000
2026-09-23 11:45:50,2026-09-27 10:00:00,Pekanbaru,Rain,light rain,24.77,25.78,95,1014,0.69,0.8,100,10000
2026-09-23 11:45:50,2026-09-27 13:00:00,Pekanbaru,Clouds,overcast clouds,26.41,26.41,84,1011,1.55,0.82,99,10000
2026-09-23 11:45:50,2026-09-27 16:00:00,Pekanbaru,Rain,light rain,28.96,32.64,70,1009,1.27,0.57,89,10000
2026-09-23 11:45:50,2026-09-27 19:00:00,Pekanbaru,Rain,light rain,24.09,25.04,95,1012,1.16,1.0,93,4768
2026-09-23 11:45:50,2026-09-27 22:00:00,Pekanbaru,Rain,light rain,23.28,24.25,99,1014,1.15,1.0,97,10000
2026-09-23 11:45:50,2026-09-28 01:00:00,Pekanbaru,Rain,light rain,23.3,24.27,99,1012,1.03,1.0,99,9467
2026-09-23 11:45:50,2026-09-28 04:00:00,Pekanbaru,Rain,moderate rain,23.07,24.02,99,1012,1.0,1.0,100,10000
2026-09-23 11:45:50,2026-09-28 07:00:00,Pekanbaru,Rain,light rain,23.14,24.09,99,1013,0.84,1.0,100,10000
2026-09-23 11:45:50,2026-09-28 10:00:00,Pekanbaru,Clouds,overcast clouds,23.77,24.76,98,1015,0.76,0.0,100,10000
2026-09-23 12:00:40,2026-09-23 13:00:00,Pekanbaru,Clouds,overcast clouds,32.15,39.15,66,1009,1.77,0.0,100,10000
2026-09-23 12:00:40,2026-09-23 16:00:00,Pekanbaru,Rain,light rain,31.98,38.28,64,1008,1.24,0.2,100,10000
2026-09-23 12:00:40,2026-09-23 19:00:00,Pekanbaru,Clouds,overcast clouds,29.5,34.29,72,1009,1.21,0.0,97,10000
2026-09-23 12:00:40,2026-09-23 22:00:00,Pekanbaru,Clouds,overcast clouds,26.81,29.49,82,1011,0.71,0.23,100,10000
2026-09-23 12:00:40,2026-09-24 01:00:00,Pekanbaru,Rain,moderate rain,24.49,25.5,96,1011,1.57,1.0,100,10000
2026-09-23 12:00:40,2026-09-24 04:00:00,Pekanbaru,Rain,light rain,23.65,24.66,99,1010,0.97,1.0,96,10000
2026-09-23 12:00:40,2026-09-24 07:00:00,Pekanbaru,Rain,moderate rain,23.95,24.96,98,1012,0.27,1.0,98,10000
2026-09-23 12:00:40,2026-09-24 10:00:00,Pekanbaru,Rain,moderate rain,27.26,31.13,87,1013,0.76,1.0,100,10000
2026-09-23 12:00:40,2026-09-24 13:00:00,Pekanbaru,Rain,light rain,29.65,35.36,75,1010,1.67,1.0,86,10000
2026-09-23 12:00:40,2026-09-24 16:00:00,Pekanbaru,Rain,moderate rain,27.83,33.21,90,1009,1.81,1.0,96,10000
2026-09-23 12:00:40,2026-09-24 19:00:00,Pekanbaru,Rain,moderate rain,24.76,25.82,97,1011,1.35,1.0,91,1171
2026-09-23 12:00:40,2026-09-24 22:00:00,Pekanbaru,Rain,moderate rain,24.36,25.41,98,1014,1.54,1.0,90,4278
2026-09-23 12:00:40,2026-09-25 01:00:00,Pekanbaru,Rain,heavy intensity rain,24.08,25.15,100,1013,1.38,1.0,95,10000
2026-09-23 12:00:40,2026-09-25 04:00:00,Pekanbaru,Rain,light rain,23.62,24.62,99,1012,0.67,0.83,100,10000
2026-09-23 12:00:40,2026-09-25 07:00:00,Pekanbaru,Rain,light rain,23.74,24.75,99,1013,0.67,0.94,100,10000
2026-09-23 12:00:40,2026-09-25 10:00:00,Pekanbaru,Clouds,overcast clouds,24.97,25.98,94,1014,0.42,0.0,100,10000
2026-09-23 12:00:40,2026-09-25 13:00:00,Pekanbaru,Clouds,overcast clouds,31.78,36.28,59,1011,0.76,0.0,98,10000
2026-09-23 12:00:40,2026-09-25 16:00:00,Pekanbaru,Clouds,overcast clouds,31.18,35.76,62,1009,1.33,0.13,88,10000
2026-09-23 12:00:40,2026-09-25 19:00:00,Pekanbaru,Rain,light rain,25.13,26.15,94,1011,1.13,0.69,84,10000
2026-09-23 12:00:40,2026-09-25 22:00:00,Pekanbaru,Rain,light rain,24.04,25.03,97,1013,1.03,1.0,61,10000
2026-09-23 12:00:40,2026-09-26 01:00:00,Pekanbaru,Rain,light rain,23.1,24.02,98,1012,0.91,1.0,68,10000
2026-09-23 12:00:40,2026-09-26 04:00:00,Pekanbaru,Rain,light rain,22.29,23.13,98,1011,0.46,0.98,86,10000
2026-09-23 12:00:40,2026-09-26 07:00:00,Pekanbaru,Rain,light rain,22.98,23.87,97,1013,0.31,0.97,88,10000
2026-09-23 12:00:40,2026-09-26 10:00:00,Pekanbaru,Rain,light rain,27.83,31.97,82,1014,0.91,0.95,97,7056
2026-09-23 12:00:40,2026-09-26 13:00:00,Pekanbaru,Rain,light rain,31.61,37.35,64,1010,0.83,0.94,92,10000
2026-09-23 12:00:40,2026-09-26 16:00:00,Pekanbaru,Rain,moderate rain,29.02,35.24,82,1009,0.49,1.0,86,10000
2026-09-23 12:00:40,2026-09-26 19:00:00,Pekanbaru,Rain,light rain,25.31,26.35,94,1011,0.21,1.0,93,10000
2026-09-23 12:00:40,2026-09-26 22:00:00,Pekanbaru,Rain,light rain,24.58,25.63,97,1012,0.41,0.73,100,10000
2026-09-23 12:00:40,2026-09-27 01:00:00,Pekanbaru,Rain,moderate rain,23.45,24.44,99,1011,1.23,1.0,97,9961
2026-09-23 12:00:40,2026-09-27 04:00:00,Pekanbaru,Rain,moderate rain,23.18,24.11,98,1010,0.38,1.0,100,10000
2026-09-23 12:00:40,2026-09-27 07:00:00,Pekanbaru,Rain,light rain,23.74,24.68,96,1012,0.51,1.0,100,10000
2026-09-23 12:00:40,2026-09-27 10:00:00,Pekanbaru,Rain,light rain,24.77,25.78,95,1014,0.69,0.8,100,10000
2026-09-23 12:00:40,2026-09-27 13:00:00,Pekanbaru,Clouds,overcast clouds,26.41,26.41,84,1011,1.55,0.82,99,10000
2026-09-23 12:00:40,2026-09-27 16:00:00,Pekanbaru,Rain,light rain,28.96,32.64,70,1009,1.27,0.57,89,10000
2026-09-23 12:00:40,2026-09-27 19:00:00,Pekanbaru,Rain,light rain,24.09,25.04,95,1012,1.16,1.0,93,4768
2026-09-23 12:00:40,2026-09-27 22:00:00,Pekanbaru,Rain,light rain,23.28,24.25,99,1014,1.15,1.0,97,10000
2026-09-23 12:00:40,2026-09-28 01:00:00,Pekanbaru,Rain,light rain,23.3,24.27,99,1012,1.03,1.0,99,9467
2026-09-23 12:00:40,2026-09-28 04:00:00,Pekanbaru,Rain,moderate rain,23.07,24.02,99,1012,1.0,1.0,100,10000
2026-09-23 12:00:40,2026-09-28 07:00:00,Pekanbaru,Rain,light rain,23.14,24.09,99,1013,0.84,1.0,100,10000
2026-09-23 12:00:40,2026-09-28 10:00:00,Pekanbaru,Clouds,overcast clouds,23.77,24.76,98,1015,0.76,0.0,100,10000
2026-09-23 12:30:31,2026-09-23 13:00:00,Pekanbaru,Clouds,overcast clouds,32.15,39.15,66,1009,1.77,0.0,100,10000
2026-09-23 12:30:31,2026-09-23 16:00:00,Pekanbaru,Rain,light rain,31.98,38.61,65,1008,1.24,0.2,100,10000
2026-09-23 12:30:31,2026-09-23 19:00:00,Pekanbaru,Clouds,overcast clouds,29.5,34.29,72,1009,1.21,0.0,97,10000
2026-09-23 12:30:31,2026-09-23 22:00:00,Pekanbaru,Clouds,overcast clouds,26.81,29.49,82,1011,0.71,0.23,100,10000
2026-09-23 12:30:31,2026-09-24 01:00:00,Pekanbaru,Rain,moderate rain,24.49,25.5,96,1011,1.57,1.0,100,10000
2026-09-23 12:30:31,2026-09-24 04:00:00,Pekanbaru,Rain,light rain,23.65,24.66,99,1010,0.97,1.0,96,10000
2026-09-23 12:30:31,2026-09-24 07:00:00,Pekanbaru,Rain,moderate rain,23.95,24.96,98,1012,0.27,1.0,98,10000
2026-09-23 12:30:31,2026-09-24 10:00:00,Pekanbaru,Rain,moderate rain,27.26,31.13,87,1013,0.76,1.0,100,10000
2026-09-23 12:30:31,2026-09-24 13:00:00,Pekanbaru,Rain,light rain,29.65,35.36,75,1010,1.67,1.0,86,10000
2026-09-23 12:30:31,2026-09-24 16:00:00,Pekanbaru,Rain,moderate rain,27.83,33.21,90,1009,1.81,1.0,96,10000
2026-09-23 12:30:31,2026-09-24 19:00:00,Pekanbaru,Rain,moderate rain,24.76,25.82,97,1011,1.35,1.0,91,1171
2026-09-23 12:30:31,2026-09-24 22:00:00,Pekanbaru,Rain,moderate rain,24.36,25.41,98,1014,1.54,1.0,90,4278
2026-09-23 12:30:31,2026-09-25 01:00:00,Pekanbaru,Rain,heavy intensity rain,24.08,25.15,100,1013,1.38,1.0,95,10000
2026-09-23 12:30:31,2026-09-25 04:00:00,Pekanbaru,Rain,light rain,23.62,24.62,99,1012,0.67,0.83,100,10000
2026-09-23 12:30:31,2026-09-25 07:00:00,Pekanbaru,Rain,light rain,23.74,24.75,99,1013,0.67,0.94,100,10000
2026-09-23 12:30:31,2026-09-25 10:00:00,Pekanbaru,Clouds,overcast clouds,24.97,25.98,94,1014,0.42,0.0,100,10000
2026-09-23 12:30:31,2026-09-25 13:00:00,Pekanbaru,Clouds,overcast clouds,31.78,36.28,59,1011,0.76,0.0,98,10000
2026-09-23 12:30:31,2026-09-25 16:00:00,Pekanbaru,Clouds,overcast clouds,31.18,35.76,62,1009,1.33,0.13,88,10000
2026-09-23 12:30:31,2026-09-25 19:00:00,Pekanbaru,Rain,light rain,25.13,26.15,94,1011,1.13,0.69,84,10000
2026-09-23 12:30:31,2026-09-25 22:00:00,Pekanbaru,Rain,light rain,24.04,25.03,97,1013,1.03,1.0,61,10000
2026-09-23 12:30:31,2026-09-26 01:00:00,Pekanbaru,Rain,light rain,23.1,24.02,98,1012,0.91,1.0,68,10000
2026-09-23 12:30:31,2026-09-26 04:00:00,Pekanbaru,Rain,light rain,22.29,23.13,98,1011,0.46,0.98,86,10000
2026-09-23 12:30:31,2026-09-26 07:00:00,Pekanbaru,Rain,light rain,22.98,23.87,97,1013,0.31,0.97,88,10000
2026-09-23 12:30:31,2026-09-26 10:00:00,Pekanbaru,Rain,light rain,27.83,31.97,82,1014,0.91,0.95,97,7056
2026-09-23 12:30:31,2026-09-26 13:00:00,Pekanbaru,Rain,light rain,31.61,37.35,64,1010,0.83,0.94,92,10000
2026-09-23 12:30:31,2026-09-26 16:00:00,Pekanbaru,Rain,moderate rain,29.02,35.24,82,1009,0.49,1.0,86,10000
2026-09-23 12:30:31,2026-09-26 19:00:00,Pekanbaru,Rain,light rain,25.31,26.35,94,1011,0.21,1.0,93,10000
2026-09-23 12:30:31,2026-09-26 22:00:00,Pekanbaru,Rain,light rain,24.58,25.63,97,1012,0.41,0.73,100,10000
2026-09-23 12:30:31,2026-09-27 01:00:00,Pekanbaru,Rain,moderate rain,23.45,24.44,99,1011,1.23,1.0,97,9961
2026-09-23 12:30:31,2026-09-27 04:00:00,Pekanbaru,Rain,moderate rain,23.18,24.11,98,1010,0.38,1.0,100,10000
2026-09-23 12:30:31,2026-09-27 07:00:00,Pekanbaru,Rain,light rain,23.74,24.68,96,1012,0.51,1.0,100,10000
2026-09-23 12:30:31,2026-09-27 10:00:00,Pekanbaru,Rain,light rain,24.77,25.78,95,1014,0.69,0.8,100,10000
2026-09-23 12:30:31,2026-09-27 13:00:00,Pekanbaru,Clouds,overcast clouds,26.41,26.41,84,1011,1.55,0.82,99,10000
2026-09-23 12:30:31,2026-09-27 16:00:00,Pekanbaru,Rain,light rain,28.96,32.64,70,1009,1.27,0.57,89,10000
2026-09-23 12:30:31,2026-09-27 19:00:00,Pekanbaru,Rain,light rain,24.09,25.04,95,1012,1.16,1.0,93,4768
2026-09-23 12:30:31,2026-09-27 22:00:00,Pekanbaru,Rain,light rain,23.28,24.25,99,1014,1.15,1.0,97,10000
2026-09-23 12:30:31,2026-09-28 01:00:00,Pekanbaru,Rain,light rain,23.3,24.27,99,1012,1.03,1.0,99,9467
2026-09-23 12:30:31,2026-09-28 04:00:00,Pekanbaru,Rain,moderate rain,23.07,24.02,99,1012,1.0,1.0,100,10000
